# aligned companion of POSNoise_PatternList_Ru_v1.0.txt; evidence: UD_Russian-SynTagRus (87337 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
а	CCONJ	CCONJ	8641	ud
а также	CCONJ	MWE	8641	ud
а то	CCONJ	MWE	8641	ud
а то и	CCONJ	MWE	8641	ud
аж	PART	PART	13	ud
аль	PART	PART	16	ud
без	ADP	ADP	1170	ud
бен	PART	PART	37	ud
бин	PART	PART	8	ud
благо	NOUN	OTH	63	ud
благодаря	ADP	ADP	187	ud
близ	ADP	ADP	20	ud
близко	ADV	ADV	76	ud
более	ADV	ADV	1635	ud
более чем	ADV	MWE	1635	ud
больше	ADV	ADV	939	ud
больше чем	ADV	MWE	939	ud
брать	VERB	LVERB	281	ud
будто	PART	PART	252	ud
будто бы	PART	MWE	252	ud
бы	AUX	AUX	2574	ud
было	AUX	AUX	3306	ud
быть	AUX	AUX	15453	ud
в	ADP	ADP	45323	ud
в виде	ADP	MWE	45323	ud
в виду	ADP	MWE	45323	ud
в значительной мере	ADP	MWE	45323	ud
в качестве	ADP	MWE	45323	ud
в конечном счете	ADP	MWE	45323	ud
в конечном счёте	ADP	MWE	45323	ud
в конце концов	ADP	MWE	45323	ud
в настоящее время	ADP	MWE	45323	ud
в общей сложности	ADP	MWE	45323	ud
в одиночку	ADP	MWE	45323	ud
в особенности	ADP	MWE	45323	ud
в отличие от	ADP	MWE	45323	ud
в отношении	ADP	MWE	45323	ud
в первую очередь	ADP	MWE	45323	ud
в противном случае	ADP	MWE	45323	ud
в связи с	ADP	MWE	45323	ud
в случае если	ADP	MWE	45323	ud
в соответствии с	ADP	MWE	45323	ud
в течение	ADP	MWE	45323	ud
в то время как	ADP	MWE	45323	ud
в угоду	ADP	MWE	45323	ud
в ходе	ADP	MWE	45323	ud
в частности	ADP	MWE	45323	ud
вам	PRON	PRON	271	ud
вами	PRON	PRON	71	ud
вас	PRON	PRON	366	ud
ваш	DET	DET	281	ud
ваша	DET	DET	33	ud
ваше	DET	DET	29	ud
вашего	DET	DET	24	ud
вашей	DET	DET	34	ud
вашем	DET	DET	11	ud
вашему	DET	DET	8	ud
ваши	DET	DET	39	ud
вашим	DET	DET	16	ud
ваших	DET	DET	13	ud
вашу	DET	DET	19	ud
вблизи	ADP	ADP	31	ud
ввиду	ADP	ADP	29	ud
вдоль	ADP	ADP	73	ud
ведь	PART	PART	766	ud
везде	ADV	ADV	46	ud
весь	DET	DET	4363	ud
весьма	ADV	ADV	290	ud
взамен	ADV	ADV	23	ud
взять	VERB	LVERB	450	ud
видеть	VERB	LVERB	727	ud
вместо	ADP	ADP	194	ud
вне	ADP	ADP	103	ud
вновь	ADV	ADV	179	ud
внутри	ADV	ADV	185	ud
внутрь	ADP	ADP	39	ud
во	ADP	ADP	1544	ud
во время	ADP	MWE	1544	ud
во главе	ADP	MWE	1544	ud
во избежание	ADP	MWE	1544	ud
возле	ADP	ADP	76	ud
возможно	ADV	ADV	347	ud
вокруг	ADP	ADP	257	ud
вон	PART	PART	34	ud
вопреки	ADP	ADP	52	ud
вот	PART	PART	1331	ud
впереди	ADV	ADV	55	ud
вплоть до	ADV	MWE	81	ud
вполне	ADV	ADV	419	ud
впрочем	ADV	ADV	288	ud
вроде	ADP	ADP	209	ud
вроде бы	ADP	MWE	209	ud
вроде как	ADP	MWE	209	ud
вряд ли	ADV	MWE	145	ud
все	PRON	PRON	4900	ud
все же	PRON	MWE	4900	ud
все равно	PRON	MWE	4900	ud
