# aligned companion of POSNoise_PatternList_Es_v1.0.txt; evidence: UD_Spanish-AnCora (17662 sentences) + target corpus (0 tokens tagged)
# entry	upos	class	evidence_count	source
a	ADP	ADP	13440	ud
a bordo	ADP	MWE	13440	ud
a corto plazo	ADP	MWE	13440	ud
a el contrario	ADP	MWE	13440	ud
a el fin	ADP	MWE	13440	ud
a el final	ADP	MWE	13440	ud
a el igual que	ADP	MWE	13440	ud
a el menos	ADP	MWE	13440	ud
a el menos en	ADP	MWE	13440	ud
a el mismo tiempo	ADP	MWE	13440	ud
a el máximo	ADP	MWE	13440	ud
a el parecer	ADP	MWE	13440	ud
a el principio	ADP	MWE	13440	ud
a el respecto	ADP	MWE	13440	ud
a el revés	ADP	MWE	13440	ud
a el tiempo que	ADP	MWE	13440	ud
a la perfección	ADP	MWE	13440	ud
a la vez	ADP	MWE	13440	ud
a la vez que	ADP	MWE	13440	ud
a lo mejor	ADP	MWE	13440	ud
a medida que	ADP	MWE	13440	ud
a medio plazo	ADP	MWE	13440	ud
a mediodía	ADP	MWE	13440	ud
a menudo	ADP	MWE	13440	ud
a muerte	ADP	MWE	13440	ud
a pesar de que	ADP	MWE	13440	ud
a priori	ADP	MWE	13440	ud
a puerta cerrada	ADP	MWE	13440	ud
a su vez	ADP	MWE	13440	ud
a veces	ADP	MWE	13440	ud
abajo	ADV	ADV	12	ud
absolutamente	ADV	ADV	12	ud
actualmente	ADV	ADV	45	ud
acá	ADV	ADV	1	ud
además	ADV	ADV	335	ud
ahora	ADV	ADV	419	ud
ahora bien	ADV	MWE	419	ud
ahí	ADV	ADV	59	ud
algo	PRON	PRON	179	ud
alguien	PRON	PRON	50	ud
alguna	DET	DET	73	ud
algunas	DET	DET	109	ud
alguno	DET	DET	499	ud
algunos	DET	DET	223	ud
algún	DET	DET	68	ud
allá	ADV	ADV	40	ud
allí	ADV	ADV	77	ud
alrededor	ADV	ADV	38	ud
ambos	NUM	NUM	162	ud
ante	ADP	ADP	476	ud
antes	ADV	ADV	304	ud
apenas	ADV	ADV	61	ud
aquel	DET	DET	172	ud
aquella	DET	DET	40	ud
aquellas	DET	DET	19	ud
aquello	PRON	PRON	17	ud
aquellos	DET	DET	38	ud
aquí	ADV	ADV	97	ud
arriba	ADV	ADV	24	ud
