# aligned companion of POSNoise_PatternList_Ru_v1.0.txt; evidence: UD_Russian-SynTagRus (87337 sentences)
# entry	upos	class	evidence_count
а	CCONJ	CCONJ	8641
а также	CCONJ	MWE	8641
а то	CCONJ	MWE	8641
а то и	CCONJ	MWE	8641
аж	PART	PART	13
аль	PART	PART	16
без	ADP	ADP	1170
бен	PART	PART	37
бин	PART	PART	8
благо	NOUN	OTH	63
благодаря	ADP	ADP	187
близ	ADP	ADP	20
близко	ADV	ADV	76
более	ADV	ADV	1635
более чем	ADV	MWE	1635
больше	ADV	ADV	939
больше чем	ADV	MWE	939
брать	VERB	LVERB	281
будто	PART	PART	252
будто бы	PART	MWE	252
бы	AUX	AUX	2574
было	AUX	AUX	3306
быть	AUX	AUX	15453
в	ADP	ADP	45323
в виде	ADP	MWE	45323
в виду	ADP	MWE	45323
в значительной мере	ADP	MWE	45323
в качестве	ADP	MWE	45323
в конечном счете	ADP	MWE	45323
в конечном счёте	ADP	MWE	45323
в конце концов	ADP	MWE	45323
в настоящее время	ADP	MWE	45323
в общей сложности	ADP	MWE	45323
в одиночку	ADP	MWE	45323
в особенности	ADP	MWE	45323
в отличие от	ADP	MWE	45323
в отношении	ADP	MWE	45323
в первую очередь	ADP	MWE	45323
в противном случае	ADP	MWE	45323
в связи с	ADP	MWE	45323
в случае если	ADP	MWE	45323
в соответствии с	ADP	MWE	45323
в течение	ADP	MWE	45323
в то время как	ADP	MWE	45323
в угоду	ADP	MWE	45323
в ходе	ADP	MWE	45323
в частности	ADP	MWE	45323
вам	PRON	PRON	271
вами	PRON	PRON	71
вас	PRON	PRON	366
ваш	DET	DET	281
ваша	DET	DET	33
ваше	DET	DET	29
вашего	DET	DET	24
вашей	DET	DET	34
вашем	DET	DET	11
вашему	DET	DET	8
ваши	DET	DET	39
вашим	DET	DET	16
ваших	DET	DET	13
вашу	DET	DET	19
вблизи	ADP	ADP	31
ввиду	ADP	ADP	29
вдоль	ADP	ADP	73
ведь	PART	PART	766
везде	ADV	ADV	46
весь	DET	DET	4363
весьма	ADV	ADV	290
взамен	ADV	ADV	23
взять	VERB	LVERB	450
видеть	VERB	LVERB	727
вместо	ADP	ADP	194
вне	ADP	ADP	103
вновь	ADV	ADV	179
внутри	ADV	ADV	185
внутрь	ADP	ADP	39
во	ADP	ADP	1544
во время	ADP	MWE	1544
во главе	ADP	MWE	1544
во избежание	ADP	MWE	1544
возле	ADP	ADP	76
возможно	ADV	ADV	347
вокруг	ADP	ADP	257
вон	PART	PART	34
вопреки	ADP	ADP	52
вот	PART	PART	1331
впереди	ADV	ADV	55
вплоть до	ADV	MWE	81
вполне	ADV	ADV	419
впрочем	ADV	ADV	288
вроде	ADP	ADP	209
вроде бы	ADP	MWE	209
вроде как	ADP	MWE	209
вряд ли	ADV	MWE	145
все	PRON	PRON	4900
все же	PRON	MWE	4900
все равно	PRON	MWE	4900
все равно что	PRON	MWE	4900
все-таки	PART	PART	269
всегда	ADV	ADV	639
всего	PRON	PRON	1168
всей	DET	DET	259
всем	DET	DET	497
всеми	DET	DET	114
всему	DET	DET	124
всех	DET	DET	960
всея	DET	DET	5
вследствие	ADP	ADP	32
всю	DET	DET	255
всюду	ADV	ADV	29
вся	DET	DET	210
всякая	DET	DET	27
всякие	DET	DET	23
всякий	DET	DET	325
всяким	DET	DET	6
всяких	DET	DET	43
всякого	DET	DET	42
всякое	DET	DET	18
всякой	DET	DET	29
всяком	DET	DET	47
всякому	DET	DET	8
всякую	DET	DET	11
всяческие	DET	DET	5
всё	PRON	PRON	2339
всё ещё	PRON	MWE	2339
всё же	PRON	MWE	2339
всё равно	PRON	MWE	2339
всё-таки	PART	PART	13
всём	DET	DET	5
вы	PRON	PRON	1633
выше	ADV	ADV	229
где	ADV	ADV	1291
где-то	ADV	ADV	109
главным образом	ADJ	MWE	122
говорить	VERB	LVERB	2016
да	PART	PART	1010
да и	PART	MWE	1010
дабы	SCONJ	SCONJ	34
давать	VERB	LVERB	615
давно	ADV	ADV	294
даже	PART	PART	1935
далеко	ADV	ADV	433
дать	VERB	LVERB	565
де	PART	PART	48
действительно	ADV	ADV	334
делать	VERB	LVERB	992
дель	PART	PART	7
дескать	PART	PART	25
для	ADP	ADP	4900
до	ADP	ADP	2697
до отказа	ADP	MWE	2697
до поры до времени	ADP	MWE	2697
до сих пор	ADP	MWE	2697
довольно	ADV	ADV	317
должен	ADJ	OTH	1435
др.	DET	DET	14
друг	PRON	PRON	817
друг друга	PRON	MWE	817
друга	PRON	PRON	176
другая	DET	DET	108
друге	PRON	PRON	5
другие	DET	DET	492
другим	DET	DET	179
другими	DET	DET	142
других	DET	DET	638
другого	DET	DET	135
другое	DET	DET	199
другой	DET	DET	2721
другом	DET	DET	152
другому	DET	DET	43
другу	PRON	PRON	66
другую	DET	DET	93
его	DET	DET	4493
едва	ADV	ADV	114
едва ли	ADV	MWE	114
едва не	ADV	MWE	114
единственно	PART	PART	20
ее	PRON	PRON	2158
ежели	SCONJ	SCONJ	9
ей	PRON	PRON	351
еле	PART	PART	19
ему	PRON	PRON	1091
если	SCONJ	SCONJ	2766
если бы	SCONJ	MWE	2766
еще	ADV	ADV	2609
ещё	ADV	ADV	75
ею	PRON	PRON	65
её	DET	DET	85
ж	PART	PART	76
же	PART	PART	3676
за	ADP	ADP	4413
за исключением	ADP	MWE	4413
за рубежом	ADP	MWE	4413
за счет	ADP	MWE	4413
затем	ADV	ADV	389
зато	CCONJ	CCONJ	167
зачем	ADV	ADV	155
здесь	ADV	ADV	781
значит	ADV	ADV	406
и	CCONJ	CCONJ	41393
и то	CCONJ	MWE	41393
ибо	SCONJ	SCONJ	123
идти	VERB	LVERB	1079
из	ADP	ADP	5604
из-за	ADP	ADP	406
из-под	ADP	ADP	65
изо	ADP	ADP	22
