# aligned companion of POSNoise_PatternList_Nl_v1.0.txt; evidence: UD_Dutch-Alpino+UD_Dutch-LassySmall (30723 sentences)
# entry	upos	class	evidence_count
's nachts	DET	MWE	69
's werelds	DET	MWE	69
1/2	DET	DET	21
2 1/2	NUM	MWE	186
3 1/2	NUM	MWE	155
aan	ADP	ADP	2645
aan de hand van	ADP	MWE	2645
aan de vooravond van	ADP	MWE	2645
aan het	ADP	MWE	2645
aan het adres van	ADP	MWE	2645
aan toe	ADP	MWE	2645
aan_geven	VERB	LVERB	26
aan_kondigen	VERB	LVERB	39
aan_stellen	VERB	LVERB	37
aangaande	ADP	ADP	10
aangezien	SCONJ	SCONJ	45
achten	VERB	LVERB	50
achter	ADP	ADP	137
achteraf	ADV	ADV	9
af	ADP	ADP	299
af aan	ADP	MWE	299
af en toe	ADP	MWE	299
af_vragen	VERB	LVERB	26
al	ADV	ADV	1277
aldaar	ADV	ADV	10
aldus	ADV	ADV	92
alhoewel	SCONJ	SCONJ	14
allang	ADV	ADV	7
allebei	PRON	PRON	14
alleen	ADV	ADV	313
allemaal	ADV	ADV	79
aller_eerst	ADV	ADV	10
allerlei	DET	DET	39
alles	PRON	PRON	145
als	SCONJ	SCONJ	2137
als gevolg van	SCONJ	MWE	2137
als wel	SCONJ	MWE	2137
alsmede	CCONJ	CCONJ	15
alsnog	ADV	ADV	17
alsof	SCONJ	SCONJ	26
alsook	CCONJ	CCONJ	8
altijd	ADV	ADV	209
alvast	ADV	ADV	13
alvorens	SCONJ	SCONJ	10
anno	ADP	ADP	8
bedoelen	VERB	LVERB	38
begrijpen	VERB	LVERB	40
behalve	SCONJ	SCONJ	44
beide	DET	DET	198
bekend_staan	VERB	LVERB	30
beloven	VERB	LVERB	47
beneden	ADP	ADP	27
beschouwen	VERB	LVERB	73
besluiten	VERB	LVERB	163
betekenen	VERB	LVERB	108
beweren	VERB	LVERB	29
bewijzen	VERB	LVERB	34
bij	ADP	ADP	1544
bij gebrek aan	ADP	MWE	1544
bij monde van	ADP	MWE	1544
bij wijze van	ADP	MWE	1544
bijgevolg	ADV	ADV	9
bijna	ADV	ADV	128
bijvoorbeeld	ADV	ADV	114
binnen	ADP	ADP	247
binnenkort	ADV	ADV	15
blijken	VERB	LVERB	221
blijven	VERB	LVERB	410
boven	ADP	ADP	116
bovendien	ADV	ADV	93
bovenop	ADP	ADP	11
buiten	ADP	ADP	115
circa	X	OTH	58
daar	ADV	ADV	372
daarbij	ADV	ADV	75
daardoor	ADV	ADV	58
daarmee	ADV	ADV	91
daarna	ADV	ADV	103
daarnaast	ADV	ADV	59
daarom	ADV	ADV	122
daarop	ADV	ADV	59
daartoe	ADV	ADV	20
daarvoor	ADV	ADV	40
dan	SCONJ	SCONJ	1082
dan wel	SCONJ	MWE	1082
dank zij	NOUN	MWE	21
dankzij	ADP	ADP	22
dat	SCONJ	SCONJ	4277
dat wil zeggen	SCONJ	MWE	4277
datzelfde	DET	DET	14
de	DET	DET	32612
de eerste de beste	DET	MWE	32612
degeen	PRON	PRON	25
denken	VERB	LVERB	186
derhalve	ADV	ADV	10
deze	DET	DET	1454
dezelfde	DET	DET	121
dicht bij	ADJ	MWE	45
die	PRON	PRON	3518
dienen	VERB	LVERB	79
diezelfde	DET	DET	7
dit	DET	DET	1243
ditmaal	ADV	ADV	13
doch	CCONJ	CCONJ	30
door	ADP	ADP	2565
door middel van	ADP	MWE	2565
doordat	SCONJ	SCONJ	64
doorheen	ADP	ADP	8
dreigen	VERB	LVERB	31
dus	ADV	ADV	189
dwingen	VERB	LVERB	59
echter	ADV	ADV	495
een	DET	DET	10546
eenmaal	ADV	ADV	25
eens	ADV	ADV	236
eerst	ADJ	OTH	184
elk	DET	DET	211
elkaar	PRON	PRON	167
en	CCONJ	CCONJ	10660
en dergelijke	CCONJ	MWE	10660
en wel	CCONJ	MWE	10660
