# aligned companion of POSNoise_PatternList_En_v2.1.txt; evidence: UD_English-EWT (33244 sentences) + target corpus (481265 tokens tagged)
# entry	upos	class	evidence_count	source
a	DET	DET	10818	ud
a bit of	DET	MWE	10818	ud
a couple of	DET	MWE	10818	ud
a few	DET	MWE	10818	ud
a good many	DET	MWE	10818	ud
a great many	DET	MWE	10818	ud
a lack of	DET	MWE	10818	ud
a little	DET	MWE	10818	ud
a little bit of	DET	MWE	10818	ud
a majority of	DET	MWE	10818	ud
a minority of	DET	MWE	10818	ud
a number of	DET	MWE	10818	ud
a plethora of	DET	MWE	10818	ud
a quantity of	DET	MWE	10818	ud
aboard	ADV	ADV	12	ud
about	ADP	ADP	1088	ud
above	ADV	ADV	104	ud
above all	ADV	MWE	104	ud
absent	VERB	LVERB	4	ud
actually	ADV	ADV	172	ud
according	VERB	LVERB	94	ud
according to	VERB	MWE	94	ud
accordingly	ADV	ADV	18	ud
across	ADP	ADP	76	ud
additionally	ADV	ADV	6	ud
adjacent	ADJ	OTH	2	ud
adjacent to	ADJ	MWE	2	ud
admittedly	ADV	ADV	2	ud
after	ADP	ADP	546	ud
after all	ADP	MWE	546	ud
afterward	ADV	ADV	4	ud
afterwards	ADV	ADV	2	ud
again	ADV	ADV	306	ud
against	ADP	ADP	192	ud
ahead	ADV	ADV	42	ud
ahead of	ADV	MWE	42	ud
albeit	SCONJ	SCONJ	2	ud
all	DET	DET	1310	ud
all in all	DET	MWE	1310	ud
all of a sudden	DET	MWE	1310	ud
all over	DET	MWE	1310	ud
all things considered	DET	MWE	1310	ud
almost	ADV	ADV	98	ud
alone	ADV	ADV	56	ud
along	ADP	ADP	114	ud
along the edge	ADP	MWE	114	ud
alongside	-	UNK	0	-
already	ADV	ADV	208	ud
also	ADV	ADV	788	ud
although	SCONJ	SCONJ	104	ud
although this may be true	SCONJ	MWE	104	ud
altogether	ADV	ADV	8	ud
always	ADV	ADV	268	ud
am	AUX	AUX	828	ud
am not	AUX	MWE	828	ud
amid	ADP	ADP	2	ud
amidst	ADP	ADP	2	ud
among	ADP	ADP	84	ud
amongst	ADP	ADP	4	ud
an	DET	DET	1244	ud
an additional	DET	MWE	1244	ud
an amount of	DET	MWE	1244	ud
analogous to	-	MWE	0	ud
and	CCONJ	CCONJ	12250	ud
and so	CCONJ	MWE	12250	ud
and still	CCONJ	MWE	12250	ud
and yet	CCONJ	MWE	12250	ud
another	DET	DET	298	ud
another key point	DET	MWE	298	ud
any	DET	DET	832	ud
anybody	PRON	PRON	24	ud
anyhow	INTJ	INTJ	2	ud
anyone	PRON	PRON	244	ud
anything	PRON	PRON	198	ud
anyway	INTJ	INTJ	62	ud
apart from	ADV	MWE	20	ud
apart from this	ADV	MWE	20	ud
are	AUX	AUX	2836	ud
aren't	-	UNK	0	-
around	ADP	ADP	306	ud
as	ADP	ADP	2270	ud
as a consequence	ADP	MWE	2270	ud
as a matter of fact	ADP	MWE	2270	ud
as a result	ADP	MWE	2270	ud
as a result of	ADP	MWE	2270	ud
as a rule	ADP	MWE	2270	ud
as an example	ADP	MWE	2270	ud
as an illustration	ADP	MWE	2270	ud
as can be seen	ADP	MWE	2270	ud
as has been noted	ADP	MWE	2270	ud
as long as	ADP	MWE	2270	ud
as much as	ADP	MWE	2270	ud
as of	ADP	MWE	2270	ud
as previously stated	ADP	MWE	2270	ud
as shown above	ADP	MWE	2270	ud
as soon as	ADP	MWE	2270	ud
as to	ADP	MWE	2270	ud
as usual	ADP	MWE	2270	ud
as well	ADP	MWE	2270	ud
as well as	ADP	MWE	2270	ud
as well as that	ADP	MWE	2270	ud
aside	ADV	ADV	16	ud
ask	VERB	LVERB	328	ud
asked	VERB	LVERB	152	ud
asking	VERB	LVERB	34	ud
asks	VERB	LVERB	6	ud
astraddle	-	UNK	0	-
astride	ADP	ADP	2	ud
at	ADP	ADP	2082	ud
at any rate	ADP	MWE	2082	ud
at first	ADP	MWE	2082	ud
at last	ADP	MWE	2082	ud
at least	ADP	MWE	2082	ud
at length	ADP	MWE	2082	ud
at the bottom	ADP	MWE	2082	ud
at the front	ADP	MWE	2082	ud
at the left	ADP	MWE	2082	ud
at the present time	ADP	MWE	2082	ud
at the rear	ADP	MWE	2082	ud
at the right	ADP	MWE	2082	ud
at the same time	ADP	MWE	2082	ud
at the top	ADP	MWE	2082	ud
at this instant	ADP	MWE	2082	ud
away	ADV	ADV	186	ud
away from	ADV	MWE	186	ud
barring	VERB	LVERB	2	ud
be	AUX	AUX	19002	ud
be able to	AUX	MWE	19002	ud
be that as it may	AUX	MWE	19002	ud
became	VERB	LVERB	32	ud
because	SCONJ	SCONJ	530	ud
because of	SCONJ	MWE	530	ud
because the	SCONJ	MWE	530	ud
become	VERB	LVERB	166	ud
becomes	VERB	LVERB	10	ud
becoming	VERB	LVERB	14	ud
been	AUX	AUX	868	ud
before	SCONJ	SCONJ	430	ud
began	VERB	LVERB	36	ud
begin	VERB	LVERB	114	ud
beginning	NOUN	OTH	40	ud
begins	VERB	LVERB	8	ud
begun	VERB	LVERB	18	ud
behind	ADP	ADP	72	ud
being	AUX	AUX	354	ud
being that	AUX	MWE	354	ud
below	ADV	ADV	132	ud
beneath	ADP	ADP	4	ud
beside	ADP	ADP	4	ud
besides	ADP	ADP	24	ud
besides that	ADP	MWE	24	ud
besides this	ADP	MWE	24	ud
between	ADP	ADP	228	ud
beyond	ADP	ADP	44	ud
both	CCONJ	CCONJ	254	ud
both-and	-	UNK	0	-
briefly	ADV	ADV	4	ud
but	CCONJ	CCONJ	1842	ud
but also	CCONJ	MWE	1842	ud
by	ADP	ADP	1566	ud
by all means	ADP	MWE	1566	ud
by and large	ADP	MWE	1566	ud
by comparison	ADP	MWE	1566	ud
by means of	ADP	MWE	1566	ud
by the time	ADP	MWE	1566	ud
by the time of	ADP	MWE	1566	ud
by the way	ADP	MWE	1566	ud
call	VERB	LVERB	762	ud
called	VERB	LVERB	276	ud
came	VERB	LVERB	192	ud
can	AUX	AUX	1778	ud
can't	-	UNK	0	-
centrally	ADV	ADV	2	ud
certain	ADJ	OTH	72	ud
certainly	ADV	ADV	62	ud
chiefly	ADV	ADV	5	corpus
circa	ADP	ADP	2	ud
close by	ADJ	MWE	188	ud
close to	ADJ	MWE	188	ud
come	VERB	LVERB	644	ud
comes	VERB	LVERB	82	ud
coming	VERB	LVERB	96	ud
comparatively	-	UNK	0	-
compared to	VERB	MWE	24	ud
conceding that	-	MWE	0	ud
concerning	VERB	LVERB	24	ud
conclusion	NOUN	OTH	16	ud
concurrently	-	UNK	0	-
consequently	ADV	ADV	4	ud
considering	VERB	LVERB	28	ud
contrarily	-	UNK	0	-
contrary to	ADJ	MWE	2	ud
conversely	-	UNK	0	-
correspondingly	-	UNK	0	-
could	AUX	AUX	720	ud
couldn't	-	UNK	0	-
could've	-	UNK	0	-
coupled with	VERB	MWE	6	ud
critically	ADV	ADV	1	corpus
currently	ADV	ADV	80	ud
dare	VERB	LVERB	2	ud
a day	DET	MWE	10818	ud
definitely	ADV	ADV	102	ud
despite	ADP	ADP	34	ud
did	AUX	AUX	694	ud
didn't	-	UNK	0	-
different from	ADJ	MWE	158	ud
differing from	VERB	MWE	2	ud
do	AUX	AUX	3622	ud
does	AUX	AUX	400	ud
doesn't	-	UNK	0	-
doing	VERB	LVERB	208	ud
done	VERB	LVERB	224	ud
don't	-	UNK	0	-
down	ADP	ADP	284	ud
due	ADJ	ADP	136	ud
due to	ADJ	MWE	136	ud
during	ADP	ADP	178	ud
during the morning	ADP	MWE	178	ud
each	DET	DET	184	ud
each other	DET	MWE	184	ud
earlier	ADV	ADV	90	ud
either	CCONJ	CCONJ	114	ud
enough	ADV	ADV	152	ud
equally	ADV	ADV	8	ud
equally important	ADV	MWE	8	ud
especially	ADV	ADV	94	ud
etc.	NOUN	OTH	142	ud
even	ADV	ADV	544	ud
even if	ADV	MWE	544	ud
even more	ADV	MWE	544	ud
even so	ADV	MWE	544	ud
even though	ADV	MWE	544	ud
even when	ADV	MWE	544	ud
eventually	ADV	ADV	26	ud
every	DET	DET	236	ud
everybody	PRON	PRON	26	ud
everyone	PRON	PRON	122	ud
everything	PRON	PRON	152	ud
everywhere	ADV	ADV	10	ud
exactly	ADV	ADV	46	ud
except	ADP	ADP	50	ud
except for	ADP	MWE	50	ud
excepting	VERB	LVERB	2	corpus
excluding	VERB	LVERB	4	ud
exclusively	ADV	ADV	2	ud
explicitly	ADV	ADV	2	ud
expressly	-	UNK	0	-
ever	ADV	ADV	244	ud
failing	VERB	LVERB	6	ud
feel	VERB	LVERB	356	ud
felt	VERB	LVERB	68	ud
few	ADJ	OTH	290	ud
fewer	ADJ	OTH	4	ud
finally	ADV	ADV	84	ud
find	VERB	LVERB	552	ud
finds	VERB	LVERB	4	ud
first	ADJ	OTH	410	ud
first and foremost	ADJ	MWE	410	ud
first of all	ADJ	MWE	410	ud
first thing to remember	ADJ	MWE	410	ud
first, firstly	-	MWE	0	ud
firstly	ADV	ADV	4	ud
following	VERB	LVERB	126	ud
for	ADP	ADP	4590	ud
for a minute	ADP	MWE	4590	ud
for all	ADP	MWE	4590	ud
for example	ADP	MWE	4590	ud
for fear that	ADP	MWE	4590	ud
for instance	ADP	MWE	4590	ud
for now	ADP	MWE	4590	ud
for one thing	ADP	MWE	4590	ud
for that reason	ADP	MWE	4590	ud
for the most part	ADP	MWE	4590	ud
for the purpose of	ADP	MWE	4590	ud
for the time being	ADP	MWE	4590	ud
for this purpose	ADP	MWE	4590	ud
for this reason	ADP	MWE	4590	ud
formerly	ADV	ADV	2	corpus
forthwith	ADV	ADV	5	corpus
found	VERB	LVERB	192	ud
foundationally	-	UNK	0	-
four	NUM	NUM	94	ud
frequently	ADV	ADV	20	ud
from	ADP	ADP	1652	ud
from time to time	ADP	MWE	1652	ud
further	ADV	ADV	90	ud
